site_name	Customer No	Customer Name	industry_main_classification	CorpMarket
Weinstadt	0010002740	JABIL CIRCUIT HUNGARY LTD.	1000 Computer	Industrial Equipment
Weinstadt	0010005942	Stroud Metal Co. Ltd.	1213 Other Consumer	Undefined
Weinstadt	0010004883	Siemens Healthineers AG	2302 Healthcare/Consume	Undefined
IRNO	0070931526	VOLEX MEXICO S.A. DE C.V.	3000 Telecom	Undefined
IRNO	0076000436	MOTOROLA SOLUTIONS, INC.	3000 Telecom	Undefined
IRNO	0076000527	MOTOROLA SOLUTIONS,INC.	3000 Telecom	Undefined
IRNO	0076000424	FLEXTRONICS MANUFACTURING	3310 Handsets	Industrial Equipment
IRNO	0076000447	FLEXTRONICS TECHNOLOGIES MEXICO	3310 Handsets	Industrial Equipment
