PROPOSAL_NAME	QUOTE_TYPE_DESCR	ITT_SITE_DESCR	CUST_ID	CUST_NAME	DIST_NAME	OPP_CATEGORIES_DESCR	PART_NO	PART_NO_MANUF	PART_NO_DESCR	PART_NO_ALPHA_NUM	PART_NO_DESCR_ALPHA_NUM	PART_NO_MANUF_ALPHA_NUM	QTY	BOOK_COST	COST_ESTIMATED	DISTY_COST_GIVEN	REQ_TARGET_PRICE_DISTR	REQ_TARGET_PRICE_RESALE	PRODUCT_LINE	PRODUCT_SERIES	ITEM_STATUS_DESCR	HAS_BOOKED	HAS_RESPONSE	QTY_MOQ_1	PRICE_GIVEN_OEM_1	TOTAL_VALUE_1	MARGIN_1	DISCOUNT_1	QTY_MOQ_2	PRICE_GIVEN_OEM_2	TOTAL_VALUE_2	MARGIN_2	DISCOUNT_2	QTY_MOQ_3	PRICE_GIVEN_OEM_3	TOTAL_VALUE_3	MARGIN_3	DISCOUNT_3
SP681664	OEM Quote	Weinstadt	0010003678	RAY SERVICE, A.S.		Bid for Bid	CA3106E12-5S-14-A232 	121571-1155		CA3106E125S14A232		1215711155	1		18.87			  	MIL-C-5015 / MS	Circular	Accepted	FALSE	TRUE	26	39.14	1017.64	51.8		50	35.9	1795	47.4	-8.3	100	31.65	3165	40.4	-11.8
SP681965	OEM Quote	Lainate	0010003894	EPHY MESS GES.F.ELEKTRO-		Bid for Bid	000L73780	000L73780	FRCIR06R16S-8P-F80T89-VO-M20-1.5F-ZM	000L73780	FRCIR06R16S8PF80T89VOM2015FZM	000L73780	400		22.5			  	CIR / FRCIR	UNKNOWN	Accepted	FALSE	TRUE	100	44.9	4490	49.9		220	42.76	9407.2	47.4	-4.8	400	40.73	16292	44.8	-4.7
SP681969	Distributor Quote	IRNO		Rockwell Collins	Avnet US	Bid for Buy	DPX2ME-A106S-8Q8P-34B-0001-SX		DPX2ME-A106S8Q8P-34B-0001-SX	DPX2MEA106S8Q8P34B0001SX	DPX2MEA106S8Q8P34B0001SX		15					  	Rack & Panel	Rack & Panel	Rejected	FALSE	TRUE											
SP681820	Distributor Quote	Hong Kong		ST Engineering	MEDs Interconnect	Bid for Buy	CGE2E22H9FB16	121537-1062		CGE2E22H9FB16		1215371062	5	402.39	56.7	54.68	280	300	CGE, CGL, etc.	Circular	Accepted	FALSE	TRUE	5	280	1400	79.8									
SP681820	Distributor Quote	Hong Kong		ST Engineering	MEDs Interconnect	Bid for Buy	CGE2E22H9ZB16	121537-1060		CGE2E22H9ZB16		1215371060	5	204.48	34.2	32.98	143	156	CGE, CGL, etc.	Circular	Accepted	FALSE	TRUE	5	143	715	76.1									
