Customer No	Customer Name	Parent
0000044983	CUMMINS ENGINE CO., INC .	CUMMINS TRUCK/BUS
0000045641	HONEYWELL INTERNATIONAL	HONEYWELL
0000053230	LOCKHEED MARTIN CORP	LOCKHEED MARTIN
0000053338	BOEING COMPANY	BOEING (BDS)
0000053412	TE CONNECTIVITY CORP	JOHN DEERE
0000054278	LOCKHEED MARTIN VOUGHT	LOCKHEED MARTIN
0000073112	ITT KONI AMERICA LLC.	ITT OTHER VC
0000078871	THE BOEING COMPANY	BOEING (BDS)
0000079159	FIRST ELECTRONICS CORP	BAE
0000079223	GOVERNMENT OF ISRAEL	ELBIT
0000079468	LOCKHEED MARTIN	LOCKHEED MARTIN
